source_value	translation_value
Type 2 diabetes (T2D)	Diabetes tipo 2
Body mass index (BMI)	Índice de massa corporal
LDL cholesterol	Colesterol LDL
HDL cholesterol	Colesterol HDL
Prostate cancer	Câncer de próstata
Height	Estatura
Systolic blood pressure	Pressão arterial sistólica
Breast cancer	Câncer de mama
Hypertension	Hipertensão arterial
Breast cancer (female)	Câncer de mama em mulheres
Total cholesterol	Colesterol total
Colorectal cancer	Câncer colorretal
Coronary artery disease	Doença arterial coronariana
Asthma	Asma
Diastolic blood pressure	Pressão arterial diastólica
Atrial fibrillation	Fibrilação atrial
Alzheimer's disease	Doença de Alzheimer
Vitamin D	Vitamina D
Triglycerides	Triglicerídeos
Gout	Gota
HbA1c	Hemoglobina glicada
Smoking status	Tabagismo
C-reactive protein	Proteína C reativa
Thyroid cancer	Câncer de tireoide
Psoriasis	Psoríase
Log triglycerides	Triglicerídeos, escala logarítmica
Glucose	Glicemia
Estimated glomerular filtration rate (Creatine)	Taxa de filtração glomerular estimada pela creatinina
Estimated glomerular filtration rate (Cystatin C)	Taxa de filtração glomerular estimada pela cistatina C
Rheumatoid arthritis	Artrite reumatoide
Type 1 diabetes (T1D)	Diabetes tipo 1
Bladder cancer	Câncer de bexiga
Platelet count	Contagem de plaquetas
Hypothyroidism	Hipotireoidismo
Melanomas of skin (diagnosis or history)	Melanoma de pele, diagnóstico ou história
Stroke	Acidente vascular cerebral
White blood cell count	Contagem de leucócitos
Red blood cell count	Contagem de hemácias
Hemoglobin	Hemoglobina
Melanoma	Melanoma
Monocyte count	Contagem de monócitos
Malignant neoplasm of ovary	Neoplasia maligna de ovário
Vitamin B12	Vitamina B12
Creatine	Creatina
Lung cancer	Câncer de pulmão
Basal cell carcinoma	Carcinoma basocelular
Insomnia	Insônia
Coronary heart disease	Doença coronariana
Eosinophil count	Contagem de eosinófilos
Heart failure	Insuficiência cardíaca
Lymphocyte count	Contagem de linfócitos
Systemic lupus erythematosus	Lúpus eritematoso sistêmico
Estimated glomerular filtration rate	Taxa de filtração glomerular estimada
Mean corpuscular hemoglobin	Hemoglobina corpuscular média
Alcohol consumption	Consumo de álcool
High light scatter reticulocyte count	Contagem de reticulócitos de alta dispersão
Skin cancer	Câncer de pele
Urate	Ácido úrico
Sleep apnea	Apneia do sono
Ankylosing spondylitis	Espondilite anquilosante
Cardiovascular disease	Doença cardiovascular
Cystatin C	Cistatina C
Age at menarche	Idade da menarca
Inflammatory bowel disease (IBD)	Doença inflamatória intestinal
Chronic kidney disease (CKD)	Doença renal crônica
eGFR	Taxa de filtração glomerular estimada
Type 2 diabetes (T2D) (PheCode 250.2)	Diabetes tipo 2
Myocardial infarction (PheCode 411.2)	Infarto do miocárdio
Angina pectoris (PheCode 411.3)	Angina do peito
Atrial fibrillation (PheCode 427.21)	Fibrilação atrial
Congestive heart failure (CHF), NOS (PheCode 428.1)	Insuficiência cardíaca congestiva
Hematocrit	Hematócrito
Squamous cell carcinoma	Carcinoma de células escamosas
Glaucoma	Glaucoma
Colon cancer	Câncer de cólon
Other non-epithelial skin cancer	Outros cânceres de pele não epiteliais
Fasting plasma glucose	Glicemia plasmática de jejum
Venous thromboembolism	Tromboembolismo venoso
Parkinson's disease	Doença de Parkinson
Cervical cancer	Câncer de colo do útero
Pancreatic cancer	Câncer de pâncreas
Mean platelet volume	Volume plaquetário médio
Neutrophil count	Contagem de neutrófilos
Esophageal cancer	Câncer de esôfago
Malignant neoplasm of testis	Neoplasia maligna de testículo
Depression	Depressão
Standing height	Estatura em pé
Bone mineral density (BMD)	Densidade mineral óssea
Lipoprotein A	Lipoproteína A
Lung and bronchus cancer	Câncer de pulmão e brônquios
Waist-hip ratio	Relação cintura-quadril
Osteoporosis	Osteoporose
Migraine	Enxaqueca
Cataract	Catarata
FEV1/FVC ratio	Relação VEF1/CVF
Dementia	Demência
Total bilirubin	Bilirrubina total
Estradiol	Estradiol
Thinness	Baixo peso
Obesity	Obesidade
Major Depressive Disorder (Lifetime)	Transtorno depressivo maior ao longo da vida
Serum creatinine	Creatinina sérica
Ischemic stroke	Acidente vascular cerebral isquêmico
Fasting glucose	Glicemia de jejum
Diabetic retinopathy	Retinopatia diabética
High cholesterol	Colesterol alto
Red blood cell distribution width	Amplitude de distribuição das hemácias
Aspartate aminotransferase level	Aspartato aminotransferase
Autoimmune disease	Doença autoimune
Eczema	Eczema
Neuroticism	Neuroticismo
Type 2 diabetes	Diabetes tipo 2
Ovarian cancer	Câncer de ovário
Basophil count	Contagem de basófilos
Mean corpuscular volume	Volume corpuscular médio
Platelet crit	Plaquetócrito
Platelet distribution width	Amplitude de distribuição das plaquetas
Reticulocyte count	Contagem de reticulócitos
Oral cavity cancer	Câncer de cavidade oral
Brain cancer	Câncer de encéfalo
Chronic lymphocytic leukemia	Leucemia linfocítica crônica
Myocardial infarction	Infarto do miocárdio
Alkaline phosphatase	Fosfatase alcalina
Inguinal hernia	Hérnia inguinal
Thyrotoxicosis with or without goiter	Tireotoxicose com ou sem bócio
Urinary calculus	Cálculo urinário
Endometriosis	Endometriose
Number of children ever born	Número de filhos nascidos
Balding Type 1	Calvície tipo 1
Childless	Sem filhos
Chronotype (morning person)	Cronotipo matutino
College education	Ensino superior
Dermatologic diseases	Doenças dermatológicas
Diabetes (any type)	Diabetes de qualquer tipo
Endocrine and diabetes diseases	Doenças endócrinas e diabetes
Forced vital capacity	Capacidade vital forçada
Hair color	Cor do cabelo
Respiratory and ear-nose-throat diseases	Doenças respiratórias e otorrinolaringológicas
Tanning	Bronzeamento
Thyroid (self-reported conditions)	Condições da tireoide autorrelatadas
Hypercholesterolemia	Hipercolesterolemia
Pulse pressure	Pressão de pulso
Inflammatory bowel disease	Doença inflamatória intestinal
Endometrial cancer	Câncer de endométrio
Mean reticulocyte volume	Volume reticulocitário médio
Heart rate	Frequência cardíaca
Malignant neoplasm of uterus	Neoplasia maligna de útero
Chronic kidney disease	Doença renal crônica
Abdominal aortic aneurysm	Aneurisma da aorta abdominal
Multiple sclerosis	Esclerose múltipla
Essential hypertension	Hipertensão essencial
Waist circumference	Circunferência abdominal
Psoriatic arthropathy	Artropatia psoriásica
Benign neoplasm of colon	Neoplasia benigna do cólon
Benign neoplasm of other parts of digestive system	Neoplasia benigna de outras partes do sistema digestivo
Benign neoplasm of uterus	Neoplasia benigna do útero
Nontoxic multinodular goiter	Bócio multinodular atóxico
Disorders of lipoid metabolism	Distúrbios do metabolismo lipídico
Retinal detachments and defects	Descolamento e defeitos da retina
Coronary atherosclerosis	Aterosclerose coronariana
Atrial fibrillation and flutter	Fibrilação e flutter atrial
Other chronic nonalcoholic liver disease	Outras doenças hepáticas crônicas não alcoólicas
Cholelithiasis and cholecystitis	Colelitíase e colecistite
Other biliary tract disease	Outras doenças do trato biliar
Hematuria	Hematúria
Hyperplasia of prostate	Hiperplasia da próstata
Other arthropathies	Outras artropatias
Albumin	Albumina
Alanine aminotransferase	Alanina aminotransferase
Urea	Ureia
Epilepsy	Epilepsia
Intracerebral hemorrhage	Hemorragia intracerebral
Mean arterial pressure	Pressão arterial média
Cholelithiasis	Colelitíase
Type 2 Diabetes Mellitus	Diabetes melito tipo 2
Kidney cancer	Câncer de rim
Lung function (FEV1/FVC)	Função pulmonar, VEF1/CVF
Tongue cancer	Câncer de língua
Respiratory system cancer	Câncer do sistema respiratório
Multiple myeloma	Mieloma múltiplo
Sitting height	Estatura sentada
Whole body water mass	Massa de água corporal total
Monocyte percentage	Percentual de monócitos
Body fat percentage	Percentual de gordura corporal
Whole body fat mass	Massa de gordura corporal total
Hip circumference	Circunferência do quadril
Immature reticulocyte fraction	Fração de reticulócitos imaturos
Cerebrovascular disease	Doença cerebrovascular
Intracranial aneurysm	Aneurisma intracraniano
Body mass index	Índice de massa corporal
All-cause dementia	Demência por qualquer causa
Prostate carcinoma	Carcinoma de próstata
Breast carcinoma	Carcinoma de mama
Viral hepatitis B	Hepatite viral B
Graves disease	Doença de Graves
Hypothyroidism NOS	Hipotireoidismo não especificado
Thyroiditis	Tireoidite
Chronic thyroiditis	Tireoidite crônica
Chronic lymphocytic thyroiditis	Tireoidite linfocítica crônica
Diabetes mellitus	Diabetes melito
ER-positive breast cancer	Câncer de mama com receptor de estrogênio positivo
ER-negative breast cancer	Câncer de mama com receptor de estrogênio negativo
Estrogen-receptor positive breast cancer	Câncer de mama com receptor de estrogênio positivo
Estrogen-receptor negative breast cancer	Câncer de mama com receptor de estrogênio negativo
Triple-negative breast cancer	Câncer de mama triplo-negativo
Male-pattern baldness	Calvície de padrão masculino
Educational attainment	Escolaridade atingida
Intelligence	Inteligência
Schizophrenia	Esquizofrenia
Bipolar disorder	Transtorno bipolar
Anorexia nervosa	Anorexia nervosa
Attention deficit hyperactivity disorder	Transtorno de déficit de atenção e hiperatividade
Autism spectrum disorder	Transtorno do espectro autista
Chronic obstructive pulmonary disease	Doença pulmonar obstrutiva crônica
Age-related macular degeneration	Degeneração macular relacionada à idade
Amyotrophic lateral sclerosis	Esclerose lateral amiotrófica
Celiac disease	Doença celíaca
Crohn disease	Doença de Crohn
Crohn's disease	Doença de Crohn
Ulcerative colitis	Retocolite ulcerativa
Atopic dermatitis	Dermatite atópica
Peripheral artery disease	Doença arterial periférica
Aortic aneurysm	Aneurisma de aorta
Gallstone disease	Doença calculosa da vesícula
Nonalcoholic fatty liver disease	Doença hepática gordurosa não alcoólica
Gestational diabetes	Diabetes gestacional
Preeclampsia	Pré-eclâmpsia
Osteoarthritis	Osteoartrite
Sarcoidosis	Sarcoidose
Vitiligo	Vitiligo
Alopecia areata	Alopecia areata
Hearing loss	Perda auditiva
Age-related hearing impairment	Perda auditiva relacionada à idade
Myopia	Miopia
Primary open-angle glaucoma	Glaucoma primário de ângulo aberto
